사하,44,159
마가,62,186
카나,70,170
카바,46,181
라라,56,165
자하,43,143
타마,87,156
카하,70,165
가사,72,151
카하,59,178
아라,80,194
타가,49,184
차차,98,152
바파,55,175
나아,51,180
하차,69,141
다가,63,193
가타,96,184
가다,40,195
하하,53,146
아자,75,150
자타,52,150
사하,66,199
사바,52,155
자하,65,196
마아,55,172
자카,91,191
하하,89,166
카타,60,181
파사,93,141
차가,43,175
라라,89,150
타다,71,190
하파,78,182
나차,70,166
가하,84,145
가나,48,188
타나,70,196
가차,64,198
카카,45,188
바마,50,181
바하,66,199
자바,40,145
사차,92,167
나타,43,182
타자,53,189
라차,65,166
카마,77,158
나자,73,192
사사,40,191
하파,72,185
카하,57,147
사바,45,154
마하,59,199
라라,66,199
파마,75,195
하차,94,173
마라,66,146
카하,89,164
자라,87,143
가마,72,146
하카,94,152
라타,89,177
다타,65,182
카차,84,176
타마,50,176
사바,74,142
카하,99,186
마바,94,143
카차,51,157
차사,96,189
타파,44,152
자타,61,199
사라,79,147
타하,86,187
아카,65,193
차라,43,160
나카,79,148
다사,98,189
카카,68,164
사나,52,142
바바,99,195
라차,45,167
파카,81,142
사하,49,194
하라,63,177
아파,49,166
파나,67,179
차나,43,182
아마,48,158
바자,79,189
라바,70,187
아사,93,182
나나,71,143
가타,80,160
아아,99,166
자파,75,168
타파,69,187
카사,50,180
라카,99,158
